REPORT_DATE,ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS
2023-11-27,ATL - Above The Line,Brand,paid social,17056.16,142113.01,9.744325335909947,11.864384901765732
2023-08-15,ATL - Above The Line,Title,youtube,698.18,9687.03,6.549908219813227,9.178646381842501
2023-11-10,DR - Direct Response,Brand,pmax,1817.38,33802.63,7.50570127379769,10.428323472154228
2023-03-20,DR - Direct Response,Brand,display,5774.59,42776.91,8.661395694673722,10.663777126838015
2022-09-30,ATL - Above The Line,Brand,display,18474.86,46443.8,9.824220294124082,10.746019789643762
2023-08-01,ATL - Above The Line,Title,youtube,1337.24,17541.15,7.199110596800214,9.772361835381163
2023-08-29,DR - Direct Response,Title,youtube,2271.43,223450.32,7.728605022496901,12.316948861705976
2023-06-13,ATL - Above The Line,Brand,display,0.0,7522.33,0.0,8.925764138077357
2023-03-05,DR - Direct Response,Title,youtube,366.54,119096.39,5.906832156267279,11.687696840745586
2022-08-10,ATL - Above The Line,Launch,radio,13765.39,93259.31,9.52998539322677,11.443149894397104
2022-08-21,ATL - Above The Line,Launch,digital audio,36729.26,185537.89,10.511356217470935,12.131019788651908
2023-05-06,ATL - Above The Line,Brand,digital audio,2788.63,5605.25,7.933664249533612,8.631637325807107
2022-08-26,ATL - Above The Line,Launch,ooh,19432.16,11533.45,9.874736164248192,9.353093488500123
2022-08-28,ATL - Above The Line,Launch,olv,6100.01,123111.42,8.71620961022607,11.720853200665584
2024-01-25,ATL - Above The Line,Title,cinema,991.11,4195.56,6.8998339882341275,8.342020421049648
2024-02-01,ATL - Above The Line,Title,bvod,6097.37,5503.68,8.715776801338864,8.613353918493566
2023-05-31,ATL - Above The Line,Brand,partnership,50994.64,16893.24,10.83949541785589,9.734728014413598
2023-05-30,ATL - Above The Line,Title,bvod,2976.84,33423.22,7.998953484466808,10.417036065871383
2024-02-12,ATL - Above The Line,Title,olv,53503.49,136138.38,10.887520854596218,11.821434492856124
2023-06-10,ATL - Above The Line,Title,tv,28.07,22893.71,3.3697067145707846,10.0386611584899
2023-06-26,ATL - Above The Line,Title,ooh,14000.35,14978.62,9.546909032519888,9.61444588959325
2022-10-19,ATL - Above The Line,Title,digital audio,3716.01,37675.28,8.220674860635306,10.536785997701905
2023-07-10,ATL - Above The Line,Title,cinema,1851.16,44154.03,7.52410780456301,10.695462129327426
2024-04-06,ATL - Above The Line,Title,olv,3747.77,42915.91,8.229183065160692,10.667021199744712
2022-11-17,ATL - Above The Line,Brand,print,87.85,23061.48,4.486949554600661,10.045962333573835
2023-08-11,ATL - Above The Line,Title,partnership,2136.18,3879.66,7.667242482001274,8.263760521244212
2023-08-08,ATL - Above The Line,Title,ooh,6050.41,10982.7,8.708046581722364,9.304167634620336
2022-12-12,ATL - Above The Line,Brand,digital audio,45748.63,114571.99,10.73093898323927,11.6489673661294
2023-09-01,ATL - Above The Line,Brand,digital audio,1246.13,33258.53,7.128600190446843,10.41209662155868
2023-09-25,ATL - Above The Line,Brand,bvod,737.99,19949.33,6.605284389056917,9.901000963534587
2023-09-27,ATL - Above The Line,Title,olv,1283.83,84622.22,7.158381692857625,11.345963976019947
2023-01-27,ATL - Above The Line,Brand,radio,16574.27,8874.52,9.71566710451415,9.091052204176494
2023-10-09,ATL - Above The Line,Title,olv,5748.47,21991.59,8.656862955630077,9.99846085742265
2023-10-17,ATL - Above The Line,Brand,ooh,1220.55,31653.64,7.107875823138807,10.362640020302596
2023-10-17,ATL - Above The Line,Title,radio,8020.41,17707.43,8.989869495881525,9.781796076367238
2023-10-17,ATL - Above The Line,Brand,bvod,3783.91,30500.62,8.238777387517512,10.325535075939063
2023-10-27,ATL - Above The Line,Brand,bvod,18246.18,22838.03,9.811765826523162,10.036226193516084
2023-11-09,ATL - Above The Line,Title,digital audio,894.32,6774.41,6.797181196271423,8.821055160522011
2023-11-25,ATL - Above The Line,Title,digital audio,1757.85,33072.55,7.472415465376533,10.406489148264042
2023-11-30,ATL - Above The Line,Title,olv,1564000.81,7274.36,14.262758357375727,8.892248575351456
2023-11-28,ATL - Above The Line,Title,bvod,226.24,32550.52,5.426006727688926,10.390579343935059
2023-11-28,ATL - Above The Line,Title,digital audio,5419.66,109391.16,8.597972858237892,11.602694502782313
2022-07-05,ATL - Above The Line,Title,online display,5087.27,20797.21,8.534693169649742,9.942622204293926
2023-12-13,ATL - Above The Line,Brand,online display,3205.15,8513.85,8.07282611934887,9.04956697696981
2023-12-15,ATL - Above The Line,Title,ctv,2079.43,24271.79,7.640329882098733,10.09711124885034
2022-07-23,ATL - Above The Line,Launch,tv,246.78,11967.83,5.512541255687593,9.390061049413825
2023-12-23,ATL - Above The Line,Title,digital audio,1486.25,50047.4,7.304684056068015,10.82074581620041
2023-12-21,ATL - Above The Line,Brand,tv,1710.73,23765.88,7.44525983398374,10.076048293851075
2023-12-22,ATL - Above The Line,Title,tv,746.32,153172.04,6.616493473591637,11.939323541690216
2022-08-19,ATL - Above The Line,Launch,olv,2373.59,88513.23,7.7725800699872485,11.390918609030992
2022-11-21,ATL - Above The Line,Brand,print,6585.37,23644.82,8.792757641133566,10.070941634112938
2023-08-13,ATL - Above The Line,Brand,print,95596.66,56510.86,11.467903621752479,10.94220580661062
2023-09-06,ATL - Above The Line,Brand,digital audio,4352.05,18583.42,8.378632027817597,9.830078874280963
2023-10-16,ATL - Above The Line,Brand,ooh,5055.18,28523.87,8.528366536458806,10.258531617314107
2023-02-23,ATL - Above The Line,Title,bvod,2776.39,19185.73,7.929266916769132,9.861974173231152
2023-12-10,ATL - Above The Line,Title,online display,99.47,59467.62,4.609859175474223,10.9932040574541
2023-12-17,ATL - Above The Line,Title,digital audio,3027.3,116042.74,8.015756684946933,11.661722467981383
2023-04-08,ATL - Above The Line,Title,cinema,3540.42,61419.08,8.172283055640216,11.025492096501292
2023-07-30,ATL - Above The Line,Title,paid social,270896.65,69503.55,12.509496353247815,11.149147497035871
2024-01-02,DR - Direct Response,Title,ott,2244.12,69580.05,7.716514250863654,11.150247539135332
2023-10-21,ATL - Above The Line,Title,paid social,5473.01,47922.64,8.60776671641664,10.777364189837744
2024-04-09,DR - Direct Response,Title,display,2982.84,8793.28,8.000966340583137,9.081856789124712
2023-07-21,DR - Direct Response,Title,paid social,385.21,151827.3,5.956381262978711,11.93050555608036
2023-06-11,DR - Direct Response,Brand,ott,24986.88,168425.33,10.126146186296824,12.034253722487604
2022-10-14,DR - Direct Response,Brand,paid social,12339.26,21804.21,9.420622366929475,9.98990421104911
2023-07-13,DR - Direct Response,Brand,app,13241.56,19008.3,9.491191164274946,9.85268361207962
2023-05-10,ATL - Above The Line,Title,youtube,615.12,50954.18,6.423441749756257,10.838701701785256
2022-11-20,DR - Direct Response,Brand,app,39949.06,47901.35,10.595385453070639,10.776919842738375
2023-01-26,DR - Direct Response,Brand,ott,252.88,22513.89,5.5368617144382695,10.021932147091936
2024-01-14,DR - Direct Response,Title,paid social,9159.76,7868.89,9.122684423658717,8.970799364185433
2023-05-30,ATL - Above The Line,Title,youtube,165562.98,37460.93,12.01711298519682,10.531080496293951
2022-12-16,DR - Direct Response,Title,youtube,531.31,47931.32,6.277226026400897,10.777545294904632
2022-08-17,ATL - Above The Line,Brand,display,1142.65,57092.66,7.041980181073368,10.952448356204496
2023-06-30,DR - Direct Response,Brand,paid social,3801.53,39135.13,8.243421913648676,10.574801360231177
2023-02-19,DR - Direct Response,Brand,ott,1279.85,21004.91,7.155279199021725,9.952559105683397
2024-01-19,ATL - Above The Line,Title,paid social,193.31,74713.36,5.269454821862936,11.221427588255114
2022-08-09,DR - Direct Response,Brand,paid social,3594.08,29451.01,8.187321523036896,10.290517438024064
2024-02-15,DR - Direct Response,Title,ott,466.75,17294.15,6.147933965154199,9.758181394360545
2023-12-14,ATL - Above The Line,Title,paid social,7466.12,22999.87,8.918264661617698,10.043287320282856
2023-09-13,DR - Direct Response,Title,app,604.08,4785.02,6.405360680693999,8.47345444731458
2022-07-25,DR - Direct Response,Brand,ott,52101.64,22963.26,10.860970898242716,10.04169437329276
2024-02-18,DR - Direct Response,Title,youtube,772.39,54991.52,6.65078344916977,10.91495245496577
2023-03-04,DR - Direct Response,Brand,paid social,1775.71,38763.63,7.482518618438246,10.56526351191513
2022-08-13,DR - Direct Response,Brand,app,13790.04,126709.47,9.531774384912449,11.749659999043434
2023-10-18,ATL - Above The Line,Brand,paid social,344.31,21177.11,5.8444425643009605,9.960723380046227
2023-01-27,DR - Direct Response,Brand,youtube,4787.94,44945.65,8.474064371552494,10.71323150986997
2022-09-20,ATL - Above The Line,Brand,display,33614.31,61056.2,10.422736896934094,11.01956640870287
2024-01-23,DR - Direct Response,Title,youtube,174.47,289035.57,5.167468088123044,12.574308498881473
2023-01-08,DR - Direct Response,Brand,app,4431.77,31876.89,8.396779949798782,10.36966794501742
2024-03-12,DR - Direct Response,Brand,paid social,5076.51,9673.32,8.532576262925767,9.177230231190205
2023-03-09,ATL - Above The Line,Brand,youtube,13023.27,64531.18,9.47456981898567,11.074919293095974
2022-07-14,DR - Direct Response,Brand,ott,340.55,179108.63,5.833494081177858,12.095753355447531
2023-09-26,DR - Direct Response,Title,ott,292.9,19948.8,5.6832395734248715,9.900974397205102
2022-10-25,DR - Direct Response,Brand,youtube,8146.97,64089.52,9.005524095454794,11.06805173805562
2023-09-14,ATL - Above The Line,Title,youtube,5428.13,94546.07,8.599534179096752,11.456853084711673
2023-07-20,DR - Direct Response,Brand,paid social,4991.19,76461.81,8.515629970222403,11.244559757817573
2023-08-31,DR - Direct Response,Title,paid social,5935.06,31268.68,8.688800892612845,10.350404216948933
2024-03-03,DR - Direct Response,Title,paid social,930.6,13682.52,6.836903538010186,9.523947468019536
2023-03-13,DR - Direct Response,Title,youtube,4829.55,25410.43,8.482715611799346,10.142954351786992
2022-10-12,DR - Direct Response,Brand,display,5389.93,43669.73,8.592473190763398,10.68443336262109
2022-06-11,DR - Direct Response,Brand,paid social,874.69,68554.06,6.7750121470270965,11.135392497000058
2022-09-04,ATL - Above The Line,Title,paid social,92138.69,38537.31,11.431061074038839,10.559408090462005
2024-02-22,DR - Direct Response,Brand,ott,7469.36,18833.51,8.918698469736713,9.843446104390868
2023-04-13,ATL - Above The Line,Brand,paid social,369.8,48121.26,5.9156628336917,10.781500134904288
2023-06-19,ATL - Above The Line,Title,youtube,10387.72,65322.8,9.248475881123925,11.087111720530077
2023-04-14,ATL - Above The Line,Brand,display,546.73,40343.43,6.305782464801201,10.605208622038052
2022-09-08,DR - Direct Response,Brand,paid social,13147.55,11917.33,9.484066765366455,9.385832830133184
2022-07-05,DR - Direct Response,Title,app,25708.48,22982.52,10.15461507446224,10.042532716347768
2022-07-25,DR - Direct Response,Brand,paid social,721.93,71331.6,6.583312398661009,11.175108724909204
2023-05-31,DR - Direct Response,Title,youtube,18073.48,6886.25,9.802256277595149,8.837427155161741
2023-09-18,DR - Direct Response,Title,youtube,6689.97,3377.86,8.808514135138033,8.125293653479503
2022-07-25,ATL - Above The Line,Brand,ott,14004.34,125120.57,9.547193964443439,11.737041103654377
2023-12-19,DR - Direct Response,Brand,pmax,97444.59,46045.41,11.487049449935316,10.737405079904013
2023-02-24,ATL - Above The Line,Brand,paid social,2039.28,50664.63,7.62084233232163,10.833003050424669
2022-07-03,DR - Direct Response,Title,app,814.66,9361.86,6.703997601467765,9.144506078354603
2022-11-13,ATL - Above The Line,Brand,youtube,637.59,57766.99,6.459262620903455,10.964190095024785
2022-07-07,DR - Direct Response,Brand,youtube,728.31,36334.04,6.592098881674599,10.500537843917064
2022-11-18,ATL - Above The Line,Brand,ott,2763.12,5627.21,7.924477599285229,8.635546730970987
2022-11-01,DR - Direct Response,Brand,youtube,5878.59,115033.99,8.679242310570414,11.652991621937002
2022-08-13,ATL - Above The Line,Brand,youtube,5232.89,32325.0,8.562910066438215,10.383627138969754
2023-08-31,ATL - Above The Line,Title,youtube,14134.44,18530.42,9.556440398047881,9.827222948831144
2022-10-02,DR - Direct Response,Brand,display,3251.12,18869.78,8.087062370355904,9.845369972961409
2022-08-03,ATL - Above The Line,Title,youtube,43780.64,3652.57,10.686969830402655,8.203460050757595
2022-07-14,DR - Direct Response,Title,app,1969.58,49988.58,7.586083194643732,10.819569862691985
2023-04-10,ATL - Above The Line,Title,partnership,430736.5,35849.28,12.973254134816472,10.487106656318048
2023-12-27,ATL - Above The Line,Title,print,9824.44,22692.21,9.192730219449714,10.029821039781769
2022-08-14,ATL - Above The Line,Launch,radio,0.0,99384.21,0.0,11.506758588817386
2022-08-17,ATL - Above The Line,Launch,paid social,459.57,6880.44,6.132464852829423,8.836583211352295
2024-01-16,ATL - Above The Line,Brand,tv,7586.75,15151.88,8.93429038375411,9.625945891880889
2022-09-19,ATL - Above The Line,Launch,paid social,2121.61,11753.27,7.660401742519865,9.37197185781229
2022-09-29,ATL - Above The Line,Brand,bvod,11522.67,20843.74,9.352158459904087,9.944856917221998
2023-06-20,ATL - Above The Line,Brand,partnership,7461.34,29498.95,8.917624316934992,10.292143847411221
2023-07-06,ATL - Above The Line,Brand,print,2784.51,42435.4,7.932186259474172,10.65576176349383
2023-07-06,ATL - Above The Line,Brand,radio,688.7,19466.03,6.536256720437246,9.876477544357593
2022-10-25,ATL - Above The Line,Title,ctv,206.22,11435.26,5.333781030823606,9.344544288405867
2024-03-26,ATL - Above The Line,Brand,ctv,1418.44,149565.49,7.258017706615324,11.915496322105163
2023-07-23,ATL - Above The Line,Title,ctv,14899.82,309679.76,9.609171523976308,12.643297239394734
2022-11-20,ATL - Above The Line,Title,ctv,4673.81,31829.64,8.449943799185661,10.368184626891466
2022-11-24,ATL - Above The Line,Brand,bvod,335.19,12905.3,5.817676476332267,9.465470843227948
2023-08-09,ATL - Above The Line,Title,online display,4341.09,121092.11,8.376111077998639,11.7043150327946
2022-12-20,ATL - Above The Line,Brand,bvod,6366.41,6459.79,8.758948072478104,8.773506880321381
2022-12-21,ATL - Above The Line,Brand,tv,644.13,19705.69,6.469451846874819,9.88871345098575
2023-10-07,ATL - Above The Line,Brand,bvod,4191.28,13714.9,8.341000017663395,9.526311022800911
2023-10-02,ATL - Above The Line,Brand,ooh,3527.53,8616.49,8.168636632601142,9.061549137960988
2023-10-10,ATL - Above The Line,Title,olv,403.51,20818.05,6.002676458071829,9.943623711925227
2023-02-03,ATL - Above The Line,Brand,bvod,6057.78,11587.48,8.70926373866373,9.357766780192224
2023-03-09,ATL - Above The Line,Title,cinema,8738.67,27920.89,9.07562771049968,10.237166247994955
2023-03-18,ATL - Above The Line,Title,partnership,22431.4,28330.56,10.01826162134438,10.251731656610325
2023-12-02,ATL - Above The Line,Brand,partnership,21277.84,14783.21,9.965468430691592,9.601314998326036
2023-12-03,ATL - Above The Line,Brand,digital audio,264.16,19011.82,5.580333417373191,9.852868767458125
2022-07-08,ATL - Above The Line,Launch,ooh,584.34,21870.59,6.372192874983733,9.992943813360089
2022-11-17,ATL - Above The Line,Title,radio,8046.04,62112.79,8.993059600930348,11.03672330446126
2022-12-21,ATL - Above The Line,Brand,digital audio,8027.92,23755.38,8.990805302254113,10.075606404966733
2023-10-27,ATL - Above The Line,Title,ctv,8046.22,63045.2,8.993081969153554,11.051623069949498
2023-12-21,ATL - Above The Line,Brand,digital audio,3326902.81,49612.78,15.017552642649983,10.812023896708117
2023-11-20,DR - Direct Response,Title,app,8899.54,48907.14,9.093867228036933,10.797699123777363
2022-11-30,DR - Direct Response,Title,youtube,24661.7,110905.8,10.113047259775941,11.61644548796003
2024-01-15,DR - Direct Response,Title,ott,17770.23,8970.51,9.785336136536037,9.101809279792906
2024-03-18,ATL - Above The Line,Title,ott,10291.37,17151.47,9.239158123008064,9.749897465547338
2023-05-08,ATL - Above The Line,Brand,display,0.0,161621.54,0.0,11.993018895540693
2022-09-18,DR - Direct Response,Brand,paid social,12496.97,21297.64,9.433321510102084,9.966398499893776
2024-01-03,ATL - Above The Line,Title,display,0.0,1637.44,0.0,7.40149984860967
2023-12-29,DR - Direct Response,Title,display,2071.07,22490.82,7.636303386592498,10.020906966534612
2022-08-23,DR - Direct Response,Brand,paid social,1322.39,31564.27,7.187951905255017,10.359812744543062
2023-08-22,ATL - Above The Line,Brand,paid social,3681.48,1997.19,8.211341717229029,7.599997049782342
2023-10-14,DR - Direct Response,Brand,display,207170.21,105068.19,12.241300831836867,11.562374364506821
2022-10-02,ATL - Above The Line,Brand,youtube,109.16,13474.98,4.7019338544204,9.508664120405426
2023-08-17,DR - Direct Response,Brand,ott,10959.92,38329.85,9.302091498584947,10.554010333970098
2023-02-24,DR - Direct Response,Title,paid social,172.83,21977.63,5.158077810133449,9.9978258966247
2023-03-22,DR - Direct Response,Brand,youtube,1354.84,7572.14,7.212176467438194,8.932363055672115
2022-08-09,ATL - Above The Line,Brand,youtube,22671.54,9421.28,10.028909779572013,9.150832376500446
2022-11-10,DR - Direct Response,Brand,paid social,3566.4,10791.97,8.179592318124204,9.286650275242126
2024-02-24,DR - Direct Response,Title,display,453.92,81908.52,6.120121579316244,11.313370502402135
2023-10-24,DR - Direct Response,Title,display,873.18,23776.63,6.773286304107566,10.076500501695186
2023-09-14,DR - Direct Response,Title,app,10828.91,16334.11,9.2900670297112,9.701072058019232
2023-09-17,DR - Direct Response,Brand,ott,849.76,10797.1,6.7461300676463445,9.287125471709604
2023-03-17,DR - Direct Response,Brand,ott,4693.8,91506.67,8.454210792225968,11.424178072887095
2022-07-20,DR - Direct Response,Title,paid social,3447.98,119733.09,8.145833814137772,11.693028646321212
2023-10-27,DR - Direct Response,Brand,ott,979.59,90465.76,6.888154431327076,11.41273776940181
2022-09-01,ATL - Above The Line,Brand,display,152230.72,45177.24,11.933159112682237,10.718370833973266
2022-06-26,ATL - Above The Line,Brand,youtube,9971.87,36869.32,9.207623685121883,10.515162170333461
2024-04-20,ATL - Above The Line,Title,paid social,82.09,8142.58,4.41992435767689,9.004985165751204
2023-12-20,ATL - Above The Line,Title,display,4446.35,21544.66,8.400063692158412,9.977929683138411
2022-10-25,DR - Direct Response,Title,app,961.74,13884.54,6.869783385728583,9.538603289874118
2024-03-03,DR - Direct Response,Title,youtube,14793.55,4418.09,9.60201414869077,8.393689071522122
2023-10-08,DR - Direct Response,Brand,display,759.58,79590.03,6.6340813001182,11.284656677040443
2023-03-24,ATL - Above The Line,Brand,display,2581.65,13718.85,7.856571282559689,9.526598968275504
2022-12-15,DR - Direct Response,Brand,ott,7901.43,91487.56,8.974925586094198,11.423969216124641
2023-11-27,DR - Direct Response,Brand,pmax,15153.59,66757.55,9.626058735348312,11.108837657947328
2023-03-27,DR - Direct Response,Brand,youtube,363.84,48185.9,5.899458901311958,10.782842478866298
2023-03-24,DR - Direct Response,Title,paid social,1736.28,50978.33,7.460075950717086,10.839175535434956
2024-04-22,DR - Direct Response,Title,app,1347.49,14872.71,7.206740726905274,9.607350503964126
2023-12-10,DR - Direct Response,Brand,pmax,976.54,177699.11,6.885039211738404,12.087852633163372
2023-04-29,DR - Direct Response,Brand,ott,76877.6,28787.38,11.249982833280656,10.267727112484998
2022-10-02,DR - Direct Response,Brand,app,6596.45,37319.57,8.794438489720493,10.527299928156541
2022-08-23,ATL - Above The Line,Title,youtube,326.15,14377.5,5.790418781315748,9.573489314290399
2023-03-06,DR - Direct Response,Title,youtube,16648.02,10834.45,9.72010663481748,9.290578445180016
2023-03-22,ATL - Above The Line,Title,paid social,146360.04,44496.33,11.8938317248745,10.70318446635426
2023-08-11,DR - Direct Response,Title,display,20473.94,34289.77,9.926956978314045,10.442631500731236
2023-02-27,DR - Direct Response,Title,youtube,204.55,12490.5,5.325689313343887,9.432803691985528
2024-04-09,DR - Direct Response,Title,youtube,1325.08,6513.99,7.189982500750954,8.78186095463835
2024-04-15,DR - Direct Response,Brand,paid social,31259.8,7713.41,10.350120195458624,8.950845287472427
2022-08-13,DR - Direct Response,Title,app,885.3,91505.16,6.787055493744353,11.424161571401934
2022-06-25,ATL - Above The Line,Brand,ott,7075.47,14903.47,8.86453047478103,9.609416446942548
2022-10-09,DR - Direct Response,Title,youtube,12855.37,19624.13,9.461594687339232,9.88456616683249
2023-10-20,ATL - Above The Line,Title,youtube,595.95,118080.02,6.3918333577913975,11.679126278008372
2022-06-19,ATL - Above The Line,Brand,paid social,0.0,8945.71,0.0,9.099041145922918
2023-01-23,ATL - Above The Line,Title,paid social,9.14,13296.66,2.316487998163037,9.49534335888099
2023-12-28,ATL - Above The Line,Brand,print,499.82,12751.08,6.2162467550907,9.453449674536039
2023-12-31,ATL - Above The Line,Title,print,2013.03,139713.32,7.607892968897458,11.847355045360384
2022-08-11,ATL - Above The Line,Launch,tv,333.96,203574.21,5.814011121710887,12.22379079789565
2023-04-25,ATL - Above The Line,Title,cinema,60465.26,58585.93,11.00984080250387,10.97826691314587
2022-08-17,ATL - Above The Line,Title,online display,240.29,60485.97,5.485999529584087,11.010183248922248
2022-08-22,ATL - Above The Line,Launch,bvod,1435.11,15403.44,7.2696933483457205,9.642411058536204
2024-02-10,ATL - Above The Line,Title,tv,4020.96,194384.42,8.299524624982297,12.177598168195836
2022-09-24,ATL - Above The Line,Launch,paid social,42822.37,36059.84,10.664839260588206,10.492962790995147
2024-02-21,ATL - Above The Line,Title,ctv,237.82,64867.42,5.475710130105239,11.080116189505361
2023-06-22,ATL - Above The Line,Title,cinema,25921.34,24799.96,10.162860424169196,10.118637641081293
2024-03-09,ATL - Above The Line,Title,cinema,3234.91,21069.95,8.082065465677898,9.955650593584373
2023-07-01,ATL - Above The Line,Title,partnership,540.04,146159.86,6.293493213266684,11.892463074997359
2022-10-26,ATL - Above The Line,Title,online display,7312.88,47371.52,8.897529191683837,10.765797592729548
2024-03-30,ATL - Above The Line,Title,partnership,4548.68,118202.68,8.422812179801419,11.680164517141234
2024-03-31,ATL - Above The Line,Title,ctv,1074.79,35615.28,6.980810554387872,10.480558115679589
2022-11-12,ATL - Above The Line,Title,bvod,3602.13,11772.63,8.189558191140764,9.373617563920313
2023-07-24,ATL - Above The Line,Title,online display,1584.12,15357.35,7.36841539322472,9.63941457905652
2022-12-10,ATL - Above The Line,Brand,cinema,3897.87,30568.07,8.26844204654421,10.327743992439787
