ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,FREE_TRIALS,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
DR - Direct Response,Title,youtube,366.54,119096.39,False,False,False,Spring,youtube_DR - Direct Response,youtube_Title,0.003077675150355103,43653590.7906,5.906832156267279,11.687696840745586,0.003072948803147392,17.59179612301806
ATL - Above The Line,Launch,radio,13765.39,93259.31,False,False,False,Summer,radio_ATL - Above The Line,radio_Launch,0.14760338672889603,1283750773.2809,9.52998539322677,11.443149894397104,0.13767575626126882,20.9730519223468
ATL - Above The Line,Launch,digital audio,36729.26,185537.89,False,False,False,Summer,digital audio_ATL - Above The Line,digital audio_Launch,0.1979609663557131,6814669401.661401,10.511356217470935,12.131019788651908,0.18062091682163453,22.64234339067047
ATL - Above The Line,Brand,digital audio,2788.63,5605.25,False,False,False,Spring,digital audio_ATL - Above The Line,digital audio_Brand,0.49750323357566567,15630968.307500001,7.933664249533612,8.631637325807107,0.40379921032110644,16.56476471630969
ATL - Above The Line,Launch,ooh,19432.16,11533.45,False,False,False,Summer,ooh_ATL - Above The Line,ooh_Launch,1.684852320858026,224119845.752,9.874736164248192,9.353093488500123,0.9876257249055531,19.227691496884574
ATL - Above The Line,Launch,olv,6100.01,123111.42,False,False,False,Summer,olv_ATL - Above The Line,olv_Launch,0.04954869337060689,750980893.1142,8.71620961022607,11.720853200665584,0.04836025593461084,20.436890768811182
ATL - Above The Line,Title,cinema,991.11,4195.56,False,False,False,Winter,cinema_ATL - Above The Line,cinema_Title,0.2362282984869719,4158261.4716000003,6.8998339882341275,8.342020421049648,0.21206504949289778,15.240607869890754
ATL - Above The Line,Title,bvod,6097.37,5503.68,False,False,False,Winter,bvod_ATL - Above The Line,bvod_Title,1.107871460550032,33557973.3216,8.715776801338864,8.613353918493566,0.7456786518512694,17.328785077836898
ATL - Above The Line,Brand,partnership,50994.64,16893.24,False,False,True,Spring,partnership_ATL - Above The Line,partnership_Brand,3.018641776237122,861464692.2336,10.83949541785589,9.734728014413598,1.3909439789334666,20.5741446301947
ATL - Above The Line,Title,bvod,2976.84,33423.22,False,False,True,Spring,bvod_ATL - Above The Line,bvod_Title,0.08906502724752433,99495578.2248,7.998953484466808,10.417036065871383,0.08531955497572868,18.415623771240277
ATL - Above The Line,Title,olv,53503.49,136138.38,False,False,True,Winter,olv_ATL - Above The Line,olv_Title,0.3930081289346913,7283878452.9462,10.887520854596218,11.821434492856124,0.3314655303403628,22.708929311954563
ATL - Above The Line,Title,tv,28.07,22893.71,False,False,False,Summer,tv_ATL - Above The Line,tv_Title,0.0012261009683445802,642626.4397,3.3697067145707846,10.0386611584899,0.001225349920396685,13.373320425810432
ATL - Above The Line,Title,ooh,14000.35,14978.62,False,False,False,Summer,ooh_ATL - Above The Line,ooh_Title,0.9346889099262816,209705922.51700002,9.546909032519888,9.61444588959325,0.6599465434929159,19.161216743050684
ATL - Above The Line,Title,digital audio,3716.01,37675.28,False,False,False,Fall,digital audio_ATL - Above The Line,digital audio_Title,0.09863257817858288,140001717.2328,8.220674860635306,10.536785997701905,0.09406629575448366,18.757165253589694
ATL - Above The Line,Title,cinema,1851.16,44154.03,False,False,False,Summer,cinema_ATL - Above The Line,cinema_Title,0.04192505191485353,81736174.17480001,7.52410780456301,10.695462129327426,0.04107001359923984,18.219007242429136
ATL - Above The Line,Title,olv,3747.77,42915.91,False,False,False,Spring,olv_ATL - Above The Line,olv_Title,0.08732821930141992,160838960.0207,8.229183065160692,10.667021199744712,0.08372351224076165,18.895914180265322
ATL - Above The Line,Brand,print,87.85,23061.48,False,False,False,Fall,print_ATL - Above The Line,print_Brand,0.0038093825721506164,2025951.018,4.486949554600661,10.045962333573835,0.0038021452483607003,14.52155028039087
ATL - Above The Line,Title,partnership,2136.18,3879.66,False,False,False,Summer,partnership_ATL - Above The Line,partnership_Title,0.5506101050092018,8287652.098799999,7.667242482001274,8.263760521244212,0.43864846961961546,15.930277386765653
ATL - Above The Line,Title,ooh,6050.41,10982.7,False,False,False,Summer,ooh_ATL - Above The Line,ooh_Title,0.5509036939914592,66449837.907000005,8.708046581722364,9.304167634620336,0.43883778941772755,18.0119579188467
ATL - Above The Line,Brand,digital audio,45748.63,114571.99,False,False,False,Winter,digital audio_ATL - Above The Line,digital audio_Brand,0.3993003001868083,5241511578.8737,10.73093898323927,11.6489673661294,0.3359723261059196,22.3798757631216
ATL - Above The Line,Brand,digital audio,1246.13,33258.53,False,True,False,Fall,digital audio_ATL - Above The Line,digital audio_Brand,0.0374679818981777,41444451.988900006,7.128600190446843,10.41209662155868,0.03678311182547783,17.539864606438336
ATL - Above The Line,Brand,bvod,737.99,19949.33,False,False,False,Fall,bvod_ATL - Above The Line,bvod_Brand,0.036993222328769934,14722406.0467,6.605284389056917,9.901000963534587,0.03632539338106524,16.504881180091
ATL - Above The Line,Title,olv,1283.83,84622.22,False,False,False,Fall,olv_ATL - Above The Line,olv_Title,0.015171310797565934,108640544.7026,7.158381692857625,11.345963976019947,0.015057377363061347,18.50355524479776
ATL - Above The Line,Brand,radio,16574.27,8874.52,False,False,False,Winter,radio_ATL - Above The Line,radio_Brand,1.867624389826154,147088690.6004,9.71566710451415,9.091052204176494,1.0534839482701304,18.806546307024472
ATL - Above The Line,Title,olv,5748.47,21991.59,True,False,False,Fall,olv_ATL - Above The Line,olv_Title,0.26139401471198764,126417995.3673,8.656862955630077,9.99846085742265,0.232217470279749,18.65510440586606
ATL - Above The Line,Brand,ooh,1220.55,31653.64,False,False,False,Fall,ooh_ATL - Above The Line,ooh_Brand,0.038559546390241374,38634850.302,7.107875823138807,10.362640020302596,0.037834701534940895,17.469665310552458
ATL - Above The Line,Title,radio,8020.41,17707.43,False,False,False,Fall,radio_ATL - Above The Line,radio_Title,0.45294037587611524,142020848.6463,8.989869495881525,9.781796076367238,0.37358934856112475,18.771484433282357
ATL - Above The Line,Brand,bvod,3783.91,30500.62,False,False,False,Fall,bvod_ATL - Above The Line,bvod_Brand,0.12406010107335523,115411601.02419999,8.238777387517512,10.325535075939063,0.11694722074782415,18.564015444456125
ATL - Above The Line,Brand,bvod,18246.18,22838.03,False,False,False,Fall,bvod_ATL - Above The Line,bvod_Brand,0.7989384373345687,416706806.2254,9.811765826523162,10.036226193516084,0.5871967338906819,19.84789343229333
ATL - Above The Line,Title,digital audio,894.32,6774.41,False,True,False,Fall,digital audio_ATL - Above The Line,digital audio_Title,0.13201444849071728,6058490.3512,6.797181196271423,8.821055160522011,0.12399874338391528,15.616971375104622
ATL - Above The Line,Title,digital audio,1757.85,33072.55,False,False,True,Fall,digital audio_ATL - Above The Line,digital audio_Title,0.05315132942576244,58136582.017500006,7.472415465376533,10.406489148264042,0.05178693548120917,17.878305679739057
ATL - Above The Line,Title,olv,1564000.81,7274.36,False,False,False,Fall,olv_ATL - Above The Line,olv_Title,215.00184346114298,11377104932.2316,14.262758357375727,8.892248575351456,5.375286942190074,23.15486883373926
ATL - Above The Line,Title,bvod,226.24,32550.52,False,False,False,Fall,bvod_ATL - Above The Line,bvod_Title,0.006950426598407645,7364229.644800001,5.426006727688926,10.390579343935059,0.00692638372465569,15.812145141431264
ATL - Above The Line,Title,digital audio,5419.66,109391.16,False,False,False,Fall,digital audio_ATL - Above The Line,digital audio_Title,0.04954385710874626,592862894.2056,8.597972858237892,11.602694502782313,0.04835564797975002,20.200473724843068
ATL - Above The Line,Title,online display,5087.27,20797.21,False,False,True,Summer,online display_ATL - Above The Line,online display_Title,0.24461309954556407,105801022.5167,8.534693169649742,9.942622204293926,0.21882471820249635,18.47707075141257
ATL - Above The Line,Brand,online display,3205.15,8513.85,False,False,False,Winter,online display_ATL - Above The Line,online display_Brand,0.37646305725376883,27288166.3275,8.07282611934887,9.04956697696981,0.319517207066578,17.12196373496962
ATL - Above The Line,Title,ctv,2079.43,24271.79,False,False,False,Winter,ctv_ATL - Above The Line,ctv_Title,0.08567270893494051,50471488.279699996,7.640329882098733,10.09711124885034,0.08219980310169428,17.73691916609785
ATL - Above The Line,Launch,tv,246.78,11967.83,False,False,False,Summer,tv_ATL - Above The Line,tv_Launch,0.02062027953271395,2953421.0874,5.512541255687593,9.390061049413825,0.020410559656784948,14.89847508562864
ATL - Above The Line,Title,digital audio,1486.25,50047.4,False,True,False,Winter,digital audio_ATL - Above The Line,digital audio_Title,0.029696847388675535,74382948.25,7.304684056068015,10.82074581620041,0.02926443599643619,18.124737296791004
ATL - Above The Line,Brand,tv,1710.73,23765.88,False,False,False,Winter,tv_ATL - Above The Line,tv_Brand,0.07198260699793149,40657003.892400004,7.44525983398374,10.076048293851075,0.0695098377016241,17.52068170118861
ATL - Above The Line,Title,tv,746.32,153172.04,False,True,False,Winter,tv_ATL - Above The Line,tv_Title,0.004872429720202199,114315356.89280002,6.616493473591637,11.939323541690216,0.004860597852244896,18.554471484505306
ATL - Above The Line,Launch,olv,2373.59,88513.23,False,False,False,Summer,olv_ATL - Above The Line,olv_Launch,0.026816217191486517,210094117.5957,7.7725800699872485,11.390918609030992,0.02646296380470162,19.163066172066436
ATL - Above The Line,Brand,print,6585.37,23644.82,False,True,False,Fall,print_ATL - Above The Line,print_Brand,0.2785121646094155,155709888.2834,8.792757641133566,10.070941634112938,0.24569703045504424,18.863505149773747
ATL - Above The Line,Brand,print,95596.66,56510.86,False,False,False,Summer,print_ATL - Above The Line,print_Brand,1.6916511268807448,5402249469.7276,11.467903621752479,10.94220580661062,0.9901548071288657,22.410081272429267
ATL - Above The Line,Brand,digital audio,4352.05,18583.42,False,False,True,Fall,digital audio_ATL - Above The Line,digital audio_Brand,0.23418993920387102,80875973.01099999,8.378632027817597,9.830078874280963,0.21041483519754103,18.20842735412549
ATL - Above The Line,Brand,ooh,5055.18,28523.87,False,False,False,Fall,ooh_ATL - Above The Line,ooh_Brand,0.17722630204106246,144193297.1466,8.528366536458806,10.258531617314107,0.16316108000989824,18.7866653056366
ATL - Above The Line,Title,bvod,2776.39,19185.73,False,False,True,Winter,bvod_ATL - Above The Line,bvod_Title,0.14471119941748373,53267068.914699994,7.929266916769132,9.861974173231152,0.13515237760849272,17.790828872963264
ATL - Above The Line,Title,online display,99.47,59467.62,False,False,False,Winter,online display_ATL - Above The Line,online display_Title,0.0016726749784168257,5915244.161400001,4.609859175474223,10.9932040574541,0.0016712776156306206,15.593043501940608
ATL - Above The Line,Title,digital audio,3027.3,116042.74,False,False,False,Winter,digital audio_ATL - Above The Line,digital audio_Title,0.02608780178751381,351296186.80200005,8.015756684946933,11.661722467981383,0.02575331987804224,19.67714026548916
ATL - Above The Line,Title,cinema,3540.42,61419.08,False,False,False,Spring,cinema_ATL - Above The Line,cinema_Title,0.05764365080037018,217449339.2136,8.172283055640216,11.025492096501292,0.05604346271322863,19.197476462805113
ATL - Above The Line,Title,paid social,270896.65,69503.55,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,3.8975944394207205,18828278858.107502,12.509496353247815,11.149147497035871,1.5887441538401699,23.658625771248133
DR - Direct Response,Title,ott,2244.12,69580.05,False,False,True,Winter,ott_DR - Direct Response,ott_Title,0.03225234819463337,156145981.806,7.716514250863654,11.150247539135332,0.03174316061279834,18.866301914855864
ATL - Above The Line,Title,paid social,5473.01,47922.64,False,False,False,Fall,paid social_ATL - Above The Line,paid social_Title,0.11420510222308287,262281087.94640002,8.60776671641664,10.777364189837744,0.1081412378644961,19.384927345197955
DR - Direct Response,Title,display,2982.84,8793.28,False,False,False,Spring,display_DR - Direct Response,display_Title,0.33921813020852287,26228947.315200005,8.000966340583137,9.081856789124712,0.29208595875023613,17.082374256308018
DR - Direct Response,Title,paid social,385.21,151827.3,False,False,False,Summer,paid social_DR - Direct Response,paid social_Title,0.0025371589957800737,58485394.232999995,5.956381262978711,11.93050555608036,0.002533945841602951,17.88428762689655
DR - Direct Response,Brand,ott,24986.88,168425.33,False,False,False,Summer,ott_DR - Direct Response,ott_Brand,0.14835583222547347,4208423509.6703997,10.126146186296824,12.034253722487604,0.1383312082547574,22.160353951488258
DR - Direct Response,Brand,paid social,12339.26,21804.21,False,False,False,Fall,paid social_DR - Direct Response,paid social_Brand,0.5659118124435603,269047816.2846,9.420622366929475,9.98990421104911,0.44846828208992345,19.410399681191084
DR - Direct Response,Brand,app,13241.56,19008.3,False,False,False,Summer,app_DR - Direct Response,app_Brand,0.6966198976236697,251699544.94799998,9.491191164274946,9.85268361207962,0.5286379762631179,19.34374665616272
ATL - Above The Line,Title,youtube,615.12,50954.18,False,False,False,Spring,youtube_ATL - Above The Line,youtube_Title,0.012072022354201363,31342935.2016,6.423441749756257,10.838701701785256,0.011999736667119124,17.260499479131596
DR - Direct Response,Brand,app,39949.06,47901.35,False,False,False,Fall,app_DR - Direct Response,app_Brand,0.8339860985128812,1913613905.231,10.595385453070639,10.776919842738375,0.6064917939325256,21.372259388746336
DR - Direct Response,Brand,ott,252.88,22513.89,False,False,False,Winter,ott_DR - Direct Response,ott_Brand,0.011232177113772876,5693312.5032,5.5368617144382695,10.021932147091936,0.011169564625877447,15.554802974606027
DR - Direct Response,Title,paid social,9159.76,7868.89,False,True,False,Winter,paid social_DR - Direct Response,paid social_Title,1.164047279857769,72077143.8664,9.122684423658717,8.970799364185433,0.7719802091086726,18.093247559858305
ATL - Above The Line,Title,youtube,165562.98,37460.93,False,False,True,Spring,youtube_ATL - Above The Line,youtube_Title,4.419617452102765,6202143204.371401,12.01711298519682,10.531080496293951,1.6900252321677656,22.54816074755019
DR - Direct Response,Title,youtube,531.31,47931.32,False,False,False,Winter,youtube_DR - Direct Response,youtube_Title,0.01108481886165455,25466389.629199997,6.277226026400897,10.777545294904632,0.011023832524854336,17.052870126242354
ATL - Above The Line,Brand,display,1142.65,57092.66,False,False,False,Summer,display_ATL - Above The Line,display_Brand,0.020013956259876488,65236927.94900001,7.041980181073368,10.952448356204496,0.019816309810295737,17.993536261479132
DR - Direct Response,Brand,paid social,3801.53,39135.13,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.09713855556376076,148773370.7489,8.243421913648676,10.574801360231177,0.0927054773864676,18.81793471104881
