REPORT_DATE,ATL_OR_DR,CAMPAIGN_TYPE ,CHANNEL,COST,FREE TRIALS
9/20/2022,ATL - Above The Line,Brand,youtube,20419.85,30785.59
11/27/2023,ATL - Above The Line,Brand,paid social,17056.16,142113.01
8/15/2023,ATL - Above The Line,Title,youtube,698.18,9687.03
11/10/2023,DR - Direct Response,Brand,pmax,1817.38,33802.63
3/20/2023,DR - Direct Response,Brand,display,5774.59,42776.91
9/30/2022,ATL - Above The Line,Brand,display,18474.86,46443.8
8/1/2023,ATL - Above The Line,Title,youtube,1337.24,17541.15
8/29/2023,DR - Direct Response,Title,youtube,2271.43,223450.32
6/13/2023,ATL - Above The Line,Brand,display,0,7522.33
3/5/2023,DR - Direct Response,Title,youtube,366.54,119096.39
8/10/2022,ATL - Above The Line,Launch,radio,13765.39,93259.31
8/21/2022,ATL - Above The Line,Launch,digital audio,36729.26,185537.89
5/6/2023,ATL - Above The Line,Brand,digital audio,2788.63,5605.25
8/26/2022,ATL - Above The Line,Launch,ooh,19432.16,11533.45
8/28/2022,ATL - Above The Line,Launch,olv,6100.01,123111.42
1/25/2024,ATL - Above The Line,Title,cinema,991.11,4195.56
2/1/2024,ATL - Above The Line,Title,bvod,6097.37,5503.68
5/31/2023,ATL - Above The Line,Brand,partnership,50994.64,16893.24
5/30/2023,ATL - Above The Line,Title,bvod,2976.84,33423.22
2/12/2024,ATL - Above The Line,Title,olv,53503.49,136138.38
6/10/2023,ATL - Above The Line,Title,tv,28.07,22893.71
6/26/2023,ATL - Above The Line,Title,ooh,14000.35,14978.62
10/19/2022,ATL - Above The Line,Title,digital audio,3716.01,37675.28
7/10/2023,ATL - Above The Line,Title,cinema,1851.16,44154.03
4/6/2024,ATL - Above The Line,Title,olv,3747.77,42915.91
11/17/2022,ATL - Above The Line,Brand,print,87.85,23061.48
8/11/2023,ATL - Above The Line,Title,partnership,2136.18,3879.66
8/8/2023,ATL - Above The Line,Title,ooh,6050.41,10982.7
12/12/2022,ATL - Above The Line,Brand,digital audio,45748.63,114571.99
9/1/2023,ATL - Above The Line,Brand,digital audio,1246.13,33258.53
9/25/2023,ATL - Above The Line,Brand,bvod,737.99,19949.33
9/27/2023,ATL - Above The Line,Title,olv,1283.83,84622.22
1/27/2023,ATL - Above The Line,Brand,radio,16574.27,8874.52
10/9/2023,ATL - Above The Line,Title,olv,5748.47,21991.59
10/17/2023,ATL - Above The Line,Brand,ooh,1220.55,31653.64
10/17/2023,ATL - Above The Line,Title,radio,8020.41,17707.43
10/17/2023,ATL - Above The Line,Brand,bvod,3783.91,30500.62
10/27/2023,ATL - Above The Line,Brand,bvod,18246.18,22838.03
11/9/2023,ATL - Above The Line,Title,digital audio,894.32,6774.41
11/25/2023,ATL - Above The Line,Title,digital audio,1757.85,33072.55
11/30/2023,ATL - Above The Line,Title,olv,1564000.81,7274.36
11/28/2023,ATL - Above The Line,Title,bvod,226.24,32550.52
11/28/2023,ATL - Above The Line,Title,digital audio,5419.66,109391.16
7/5/2022,ATL - Above The Line,Title,online display,5087.27,20797.21
12/13/2023,ATL - Above The Line,Brand,online display,3205.15,8513.85
12/15/2023,ATL - Above The Line,Title,ctv,2079.43,24271.79
7/23/2022,ATL - Above The Line,Launch,tv,246.78,11967.83
12/23/2023,ATL - Above The Line,Title,digital audio,1486.25,50047.4
12/21/2023,ATL - Above The Line,Brand,tv,1710.73,23765.88
12/22/2023,ATL - Above The Line,Title,tv,746.32,153172.04
8/19/2022,ATL - Above The Line,Launch,olv,2373.59,88513.23
11/21/2022,ATL - Above The Line,Brand,print,6585.37,23644.82
8/13/2023,ATL - Above The Line,Brand,print,95596.66,56510.86
9/6/2023,ATL - Above The Line,Brand,digital audio,4352.05,18583.42
10/16/2023,ATL - Above The Line,Brand,ooh,5055.18,28523.87
2/23/2023,ATL - Above The Line,Title,bvod,2776.39,19185.73
12/10/2023,ATL - Above The Line,Title,online display,99.47,59467.62
12/17/2023,ATL - Above The Line,Title,digital audio,3027.3,116042.74
4/8/2023,ATL - Above The Line,Title,cinema,3540.42,61419.08
7/30/2023,ATL - Above The Line,Title,paid social,270896.65,69503.55
1/2/2024,DR - Direct Response,Title,ott,2244.12,69580.05
10/21/2023,ATL - Above The Line,Title,paid social,5473.01,47922.64
4/9/2024,DR - Direct Response,Title,display,2982.84,8793.28
7/21/2023,DR - Direct Response,Title,paid social,385.21,151827.3
6/11/2023,DR - Direct Response,Brand,ott,24986.88,168425.33
10/14/2022,DR - Direct Response,Brand,paid social,12339.26,21804.21
7/13/2023,DR - Direct Response,Brand,app,13241.56,19008.3
5/10/2023,ATL - Above The Line,Title,youtube,615.12,50954.18
11/20/2022,DR - Direct Response,Brand,app,39949.06,47901.35
1/26/2023,DR - Direct Response,Brand,ott,252.88,22513.89
1/14/2024,DR - Direct Response,Title,paid social,9159.76,7868.89
5/30/2023,ATL - Above The Line,Title,youtube,165562.98,37460.93
12/16/2022,DR - Direct Response,Title,youtube,531.31,47931.32
8/17/2022,ATL - Above The Line,Brand,display,1142.65,57092.66
6/30/2023,DR - Direct Response,Brand,paid social,3801.53,39135.13
2/19/2023,DR - Direct Response,Brand,ott,1279.85,21004.91
1/19/2024,ATL - Above The Line,Title,paid social,193.31,74713.36
8/9/2022,DR - Direct Response,Brand,paid social,3594.08,29451.01
2/15/2024,DR - Direct Response,Title,ott,466.75,17294.15
12/14/2023,ATL - Above The Line,Title,paid social,7466.12,22999.87
9/13/2023,DR - Direct Response,Title,app,604.08,4785.02
7/25/2022,DR - Direct Response,Brand,ott,52101.64,22963.26
2/18/2024,DR - Direct Response,Title,youtube,772.39,54991.52
3/4/2023,DR - Direct Response,Brand,paid social,1775.71,38763.63
8/13/2022,DR - Direct Response,Brand,app,13790.04,126709.47
10/18/2023,ATL - Above The Line,Brand,paid social,344.31,21177.11
1/27/2023,DR - Direct Response,Brand,youtube,4787.94,44945.65
9/20/2022,ATL - Above The Line,Brand,display,33614.31,61056.2
1/23/2024,DR - Direct Response,Title,youtube,174.47,289035.57
1/8/2023,DR - Direct Response,Brand,app,4431.77,31876.89
3/12/2024,DR - Direct Response,Brand,paid social,5076.51,9673.32
3/9/2023,ATL - Above The Line,Brand,youtube,13023.27,64531.18
7/14/2022,DR - Direct Response,Brand,ott,340.55,179108.63
9/26/2023,DR - Direct Response,Title,ott,292.9,19948.8
10/25/2022,DR - Direct Response,Brand,youtube,8146.97,64089.52
9/14/2023,ATL - Above The Line,Title,youtube,5428.13,94546.07
7/20/2023,DR - Direct Response,Brand,paid social,4991.19,76461.81
8/31/2023,DR - Direct Response,Title,paid social,5935.06,31268.68
3/3/2024,DR - Direct Response,Title,paid social,930.6,13682.52
3/13/2023,DR - Direct Response,Title,youtube,4829.55,25410.43
10/12/2022,DR - Direct Response,Brand,display,5389.93,43669.73
6/11/2022,DR - Direct Response,Brand,paid social,874.69,68554.06
9/4/2022,ATL - Above The Line,Title,paid social,92138.69,38537.31
2/22/2024,DR - Direct Response,Brand,ott,7469.36,18833.51
4/13/2023,ATL - Above The Line,Brand,paid social,369.8,48121.26
6/19/2023,ATL - Above The Line,Title,youtube,10387.72,65322.8
4/14/2023,ATL - Above The Line,Brand,display,546.73,40343.43
9/8/2022,DR - Direct Response,Brand,paid social,13147.55,11917.33
7/5/2022,DR - Direct Response,Title,app,25708.48,22982.52
7/25/2022,DR - Direct Response,Brand,paid social,721.93,71331.6
5/31/2023,DR - Direct Response,Title,youtube,18073.48,6886.25
9/18/2023,DR - Direct Response,Title,youtube,6689.97,3377.86
7/25/2022,ATL - Above The Line,Brand,ott,14004.34,125120.57
12/19/2023,DR - Direct Response,Brand,pmax,97444.59,46045.41
2/24/2023,ATL - Above The Line,Brand,paid social,2039.28,50664.63
7/3/2022,DR - Direct Response,Title,app,814.66,9361.86
11/13/2022,ATL - Above The Line,Brand,youtube,637.59,57766.99
7/7/2022,DR - Direct Response,Brand,youtube,728.31,36334.04
11/18/2022,ATL - Above The Line,Brand,ott,2763.12,5627.21
11/1/2022,DR - Direct Response,Brand,youtube,5878.59,115033.99
8/13/2022,ATL - Above The Line,Brand,youtube,5232.89,32325
8/31/2023,ATL - Above The Line,Title,youtube,14134.44,18530.42
10/2/2022,DR - Direct Response,Brand,display,3251.12,18869.78
8/3/2022,ATL - Above The Line,Title,youtube,43780.64,3652.57
7/14/2022,DR - Direct Response,Title,app,1969.58,49988.58
4/10/2023,ATL - Above The Line,Title,partnership,430736.5,35849.28
12/27/2023,ATL - Above The Line,Title,print,9824.44,22692.21
8/14/2022,ATL - Above The Line,Launch,radio,0,99384.21
8/17/2022,ATL - Above The Line,Launch,paid social,459.57,6880.44
1/16/2024,ATL - Above The Line,Brand,tv,7586.75,15151.88
9/19/2022,ATL - Above The Line,Launch,paid social,2121.61,11753.27
9/29/2022,ATL - Above The Line,Brand,bvod,11522.67,20843.74
6/20/2023,ATL - Above The Line,Brand,partnership,7461.34,29498.95
7/6/2023,ATL - Above The Line,Brand,print,2784.51,42435.4
7/6/2023,ATL - Above The Line,Brand,radio,688.7,19466.03
10/25/2022,ATL - Above The Line,Title,ctv,206.22,11435.26
3/26/2024,ATL - Above The Line,Brand,ctv,1418.44,149565.49
7/23/2023,ATL - Above The Line,Title,ctv,14899.82,309679.76
11/20/2022,ATL - Above The Line,Title,ctv,4673.81,31829.64
11/24/2022,ATL - Above The Line,Brand,bvod,335.19,12905.3
8/9/2023,ATL - Above The Line,Title,online display,4341.09,121092.11
12/20/2022,ATL - Above The Line,Brand,bvod,6366.41,6459.79
12/21/2022,ATL - Above The Line,Brand,tv,644.13,19705.69
10/7/2023,ATL - Above The Line,Brand,bvod,4191.28,13714.9
10/2/2023,ATL - Above The Line,Brand,ooh,3527.53,8616.49
10/10/2023,ATL - Above The Line,Title,olv,403.51,20818.05
2/3/2023,ATL - Above The Line,Brand,bvod,6057.78,11587.48
3/9/2023,ATL - Above The Line,Title,cinema,8738.67,27920.89
3/18/2023,ATL - Above The Line,Title,partnership,22431.4,28330.56
12/2/2023,ATL - Above The Line,Brand,partnership,21277.84,14783.21
12/3/2023,ATL - Above The Line,Brand,digital audio,264.16,19011.82
7/8/2022,ATL - Above The Line,Launch,ooh,584.34,21870.59
11/17/2022,ATL - Above The Line,Title,radio,8046.04,62112.79
12/21/2022,ATL - Above The Line,Brand,digital audio,8027.92,23755.38
10/27/2023,ATL - Above The Line,Title,ctv,8046.22,63045.2
12/21/2023,ATL - Above The Line,Brand,digital audio,3326902.81,49612.78
11/20/2023,DR - Direct Response,Title,app,8899.54,48907.14
11/30/2022,DR - Direct Response,Title,youtube,24661.7,110905.8
1/15/2024,DR - Direct Response,Title,ott,17770.23,8970.51
3/18/2024,ATL - Above The Line,Title,ott,10291.37,17151.47
5/8/2023,ATL - Above The Line,Brand,display,0,161621.54
9/18/2022,DR - Direct Response,Brand,paid social,12496.97,21297.64
1/3/2024,ATL - Above The Line,Title,display,0,1637.44
12/29/2023,DR - Direct Response,Title,display,2071.07,22490.82
8/23/2022,DR - Direct Response,Brand,paid social,1322.39,31564.27
8/22/2023,ATL - Above The Line,Brand,paid social,3681.48,1997.19
10/14/2023,DR - Direct Response,Brand,display,207170.21,105068.19
10/2/2022,ATL - Above The Line,Brand,youtube,109.16,13474.98
8/17/2023,DR - Direct Response,Brand,ott,10959.92,38329.85
2/24/2023,DR - Direct Response,Title,paid social,172.83,21977.63
3/22/2023,DR - Direct Response,Brand,youtube,1354.84,7572.14
8/9/2022,ATL - Above The Line,Brand,youtube,22671.54,9421.28
11/10/2022,DR - Direct Response,Brand,paid social,3566.4,10791.97
2/24/2024,DR - Direct Response,Title,display,453.92,81908.52
10/24/2023,DR - Direct Response,Title,display,873.18,23776.63
9/14/2023,DR - Direct Response,Title,app,10828.91,16334.11
9/17/2023,DR - Direct Response,Brand,ott,849.76,10797.1
3/17/2023,DR - Direct Response,Brand,ott,4693.8,91506.67
7/20/2022,DR - Direct Response,Title,paid social,3447.98,119733.09
10/27/2023,DR - Direct Response,Brand,ott,979.59,90465.76
9/1/2022,ATL - Above The Line,Brand,display,152230.72,45177.24
6/26/2022,ATL - Above The Line,Brand,youtube,9971.87,36869.32
4/20/2024,ATL - Above The Line,Title,paid social,82.09,8142.58
12/20/2023,ATL - Above The Line,Title,display,4446.35,21544.66
10/25/2022,DR - Direct Response,Title,app,961.74,13884.54
3/3/2024,DR - Direct Response,Title,youtube,14793.55,4418.09
10/8/2023,DR - Direct Response,Brand,display,759.58,79590.03
3/24/2023,ATL - Above The Line,Brand,display,2581.65,13718.85
12/15/2022,DR - Direct Response,Brand,ott,7901.43,91487.56
11/27/2023,DR - Direct Response,Brand,pmax,15153.59,66757.55
3/27/2023,DR - Direct Response,Brand,youtube,363.84,48185.9
3/24/2023,DR - Direct Response,Title,paid social,1736.28,50978.33
4/22/2024,DR - Direct Response,Title,app,1347.49,14872.71
12/10/2023,DR - Direct Response,Brand,pmax,976.54,177699.11
4/29/2023,DR - Direct Response,Brand,ott,76877.6,28787.38
10/2/2022,DR - Direct Response,Brand,app,6596.45,37319.57
8/23/2022,ATL - Above The Line,Title,youtube,326.15,14377.5
3/6/2023,DR - Direct Response,Title,youtube,16648.02,10834.45
3/22/2023,ATL - Above The Line,Title,paid social,146360.04,44496.33
8/11/2023,DR - Direct Response,Title,display,20473.94,34289.77
2/27/2023,DR - Direct Response,Title,youtube,204.55,12490.5
4/9/2024,DR - Direct Response,Title,youtube,1325.08,6513.99
4/15/2024,DR - Direct Response,Brand,paid social,31259.8,7713.41
8/13/2022,DR - Direct Response,Title,app,885.3,91505.16
6/25/2022,ATL - Above The Line,Brand,ott,7075.47,14903.47
10/9/2022,DR - Direct Response,Title,youtube,12855.37,19624.13
10/20/2023,ATL - Above The Line,Title,youtube,595.95,118080.02
6/19/2022,ATL - Above The Line,Brand,paid social,0,8945.71
1/23/2023,ATL - Above The Line,Title,paid social,9.14,13296.66
12/28/2023,ATL - Above The Line,Brand,print,499.82,12751.08
12/31/2023,ATL - Above The Line,Title,print,2013.03,139713.32
8/11/2022,ATL - Above The Line,Launch,tv,333.96,203574.21
4/25/2023,ATL - Above The Line,Title,cinema,60465.26,58585.93
8/17/2022,ATL - Above The Line,Title,online display,240.29,60485.97
8/22/2022,ATL - Above The Line,Launch,bvod,1435.11,15403.44
2/10/2024,ATL - Above The Line,Title,tv,4020.96,194384.42
9/24/2022,ATL - Above The Line,Launch,paid social,42822.37,36059.84
2/21/2024,ATL - Above The Line,Title,ctv,237.82,64867.42
6/22/2023,ATL - Above The Line,Title,cinema,25921.34,24799.96
3/9/2024,ATL - Above The Line,Title,cinema,3234.91,21069.95
7/1/2023,ATL - Above The Line,Title,partnership,540.04,146159.86
10/26/2022,ATL - Above The Line,Title,online display,7312.88,47371.52
3/30/2024,ATL - Above The Line,Title,partnership,4548.68,118202.68
3/31/2024,ATL - Above The Line,Title,ctv,1074.79,35615.28
11/12/2022,ATL - Above The Line,Title,bvod,3602.13,11772.63
7/24/2023,ATL - Above The Line,Title,online display,1584.12,15357.35
12/10/2022,ATL - Above The Line,Brand,cinema,3897.87,30568.07
8/21/2023,ATL - Above The Line,Brand,radio,10492.81,14706.77
8/27/2023,ATL - Above The Line,Title,cinema,55607.94,9078.49
12/18/2022,ATL - Above The Line,Brand,print,340.02,91991.34
12/14/2022,ATL - Above The Line,Brand,cinema,149262,15961.54
9/6/2023,ATL - Above The Line,Title,cinema,93.66,31667.44
10/12/2023,ATL - Above The Line,Brand,ctv,2414.65,37103.17
10/24/2023,ATL - Above The Line,Brand,print,9183.93,15283.44
10/26/2023,ATL - Above The Line,Brand,radio,5273.67,118134.41
10/29/2023,ATL - Above The Line,Brand,ooh,1032.05,8990.77
11/7/2023,ATL - Above The Line,Title,bvod,2181.18,35840.94
11/29/2023,ATL - Above The Line,Brand,online display,1304.28,35287.78
11/29/2023,ATL - Above The Line,Brand,print,1096.05,26108.62
7/10/2022,ATL - Above The Line,Launch,paid social,14718.14,7507.4
12/6/2023,ATL - Above The Line,Title,online display,6049.35,66029.78
12/14/2023,ATL - Above The Line,Brand,partnership,909.2,58114.66
12/17/2023,ATL - Above The Line,Brand,ooh,16108.19,14000.5
12/17/2023,ATL - Above The Line,Title,partnership,5530.14,56052.39
12/16/2023,ATL - Above The Line,Brand,radio,13773.75,40153.6
7/24/2022,ATL - Above The Line,Launch,bvod,9894.95,7631.15
7/25/2022,ATL - Above The Line,Launch,radio,711.18,11707.14
5/24/2023,ATL - Above The Line,Title,online display,1155.34,86346.65
9/23/2022,ATL - Above The Line,Title,print,12236.36,37600.77
3/29/2024,ATL - Above The Line,Title,cinema,9556.89,15653.45
7/22/2023,ATL - Above The Line,Title,cinema,3058.13,11653.87
12/17/2022,ATL - Above The Line,Brand,online display,3924.77,16440.48
9/7/2023,ATL - Above The Line,Title,ctv,31872.51,17652.43
11/11/2023,ATL - Above The Line,Brand,partnership,1091.69,11801.05
11/26/2023,ATL - Above The Line,Brand,ooh,8525.43,4805.24
12/8/2023,ATL - Above The Line,Title,online display,2204.65,86496.76
12/5/2023,ATL - Above The Line,Title,olv,2143.87,72982.56
12/17/2023,ATL - Above The Line,Brand,print,23077.24,7687.67
7/21/2022,ATL - Above The Line,Launch,radio,14089.43,31607.73
12/19/2023,ATL - Above The Line,Brand,print,13789.85,11153.41
10/28/2022,ATL - Above The Line,Title,cinema,33513.51,21207.03
10/12/2023,ATL - Above The Line,Brand,radio,3298.42,19509.17
8/27/2023,DR - Direct Response,Title,app,10875.04,17949.61
3/27/2024,DR - Direct Response,Title,ott,1813.92,205536.32
1/17/2024,ATL - Above The Line,Title,paid social,5701.09,17726.12
7/2/2023,DR - Direct Response,Brand,app,2510.84,12255.81
9/3/2023,DR - Direct Response,Title,app,3783.35,12830.43
5/31/2023,DR - Direct Response,Title,paid social,9298.02,78538.01
3/21/2024,ATL - Above The Line,Title,paid social,725.15,5257.4
3/16/2023,DR - Direct Response,Brand,youtube,138703.15,12829.89
11/18/2023,DR - Direct Response,Title,app,516.67,117664.17
12/8/2023,ATL - Above The Line,Title,youtube,354.83,35212.42
7/7/2023,ATL - Above The Line,Title,paid social,25686,33420.82
7/16/2023,ATL - Above The Line,Title,paid social,13256.64,233973.7
9/27/2023,DR - Direct Response,Title,app,9797.04,35295.93
4/29/2023,ATL - Above The Line,Title,paid social,9872.05,13549.88
2/8/2024,DR - Direct Response,Title,app,3106.27,20775.23
6/23/2022,ATL - Above The Line,Title,paid social,628.74,8827.33
10/30/2022,DR - Direct Response,Title,paid social,3641.37,97161.8
10/23/2023,ATL - Above The Line,Title,paid social,935.42,49056.05
4/7/2024,DR - Direct Response,Title,display,18460.68,85153.98
5/22/2023,DR - Direct Response,Brand,paid social,2435.34,93064.79
2/25/2023,DR - Direct Response,Brand,app,715.69,18196.56
11/12/2023,DR - Direct Response,Brand,display,1777.88,10687.8
7/24/2023,DR - Direct Response,Title,app,6691.78,26175.26
8/25/2022,DR - Direct Response,Brand,ott,1147.97,11488.08
6/13/2022,ATL - Above The Line,Brand,paid social,719.93,32529.04
7/30/2023,DR - Direct Response,Title,paid social,4930.26,85812.69
4/21/2023,ATL - Above The Line,Title,youtube,4941.65,23290.37
9/15/2022,DR - Direct Response,Title,youtube,1271.87,32044.53
6/20/2023,ATL - Above The Line,Brand,paid social,1357.03,25092.18
4/17/2023,DR - Direct Response,Title,paid social,4827.77,61670.89
2/14/2023,DR - Direct Response,Title,app,232.63,14110.26
7/4/2023,DR - Direct Response,Title,youtube,250.33,3045.5
11/1/2022,ATL - Above The Line,Brand,display,868.25,44210.42
8/25/2022,DR - Direct Response,Brand,youtube,2160.31,74252.6
1/17/2024,DR - Direct Response,Title,app,5566.27,43137.49
11/11/2022,DR - Direct Response,Title,youtube,45539.55,14505.63
6/25/2022,DR - Direct Response,Brand,ott,14933.77,8831.05
10/30/2022,ATL - Above The Line,Brand,youtube,2379.37,45270.69
10/28/2022,DR - Direct Response,Title,paid social,3068.55,31771.99
9/27/2023,ATL - Above The Line,Title,youtube,519.93,24300.91
12/20/2023,DR - Direct Response,Brand,display,3071.34,171502.7
11/10/2022,ATL - Above The Line,Brand,paid social,1886.07,10665.88
2/5/2023,DR - Direct Response,Brand,paid social,5686.21,163535.61
3/25/2023,DR - Direct Response,Brand,ott,713.45,28461.77
6/27/2022,DR - Direct Response,Brand,display,8108.9,4373.75
9/11/2023,DR - Direct Response,Brand,pmax,50509.33,23033.36
7/19/2022,DR - Direct Response,Title,youtube,2609.65,72171.82
1/27/2024,DR - Direct Response,Brand,paid social,6557.63,19116.18
3/13/2024,DR - Direct Response,Title,app,11037.02,6280.76
3/15/2023,DR - Direct Response,Title,app,1539.28,23375.21
8/3/2022,ATL - Above The Line,Brand,ott,4758.93,11669.11
9/15/2022,DR - Direct Response,Title,paid social,3248.71,45149.02
4/11/2023,ATL - Above The Line,Brand,paid social,3788,59883.23
11/19/2022,ATL - Above The Line,Title,youtube,786.81,9556.79
10/15/2022,DR - Direct Response,Title,app,3319.36,13582.29
9/9/2023,ATL - Above The Line,Brand,display,7802.37,58885.16
2/10/2023,ATL - Above The Line,Brand,paid social,43592.14,11649.56
10/10/2022,DR - Direct Response,Title,youtube,17940.04,9311.84
8/8/2023,DR - Direct Response,Brand,paid social,154790.52,8452.52
2/9/2024,DR - Direct Response,Brand,paid social,794.89,39243.06
8/17/2022,DR - Direct Response,Brand,app,15334.24,37591.03
9/24/2022,DR - Direct Response,Brand,display,4421.44,13881.96
6/30/2022,ATL - Above The Line,Title,paid social,165368.04,27709.72
4/11/2023,ATL - Above The Line,Title,bvod,738.25,127534.18
12/31/2023,ATL - Above The Line,Brand,bvod,697.55,10378.21
12/31/2023,ATL - Above The Line,Title,ctv,1076.39,3892.69
12/29/2023,ATL - Above The Line,Brand,print,68.69,43515.62
12/30/2023,ATL - Above The Line,Brand,online display,1229.4,24678.96
8/6/2022,ATL - Above The Line,Launch,print,806.77,13524.91
8/11/2022,ATL - Above The Line,Launch,radio,4166.16,53022.37
1/14/2024,ATL - Above The Line,Brand,olv,5885,63970.3
1/28/2024,ATL - Above The Line,Title,cinema,93884.05,3009.57
5/23/2023,ATL - Above The Line,Brand,partnership,17655.83,14326.8
9/19/2022,ATL - Above The Line,Title,bvod,1120.98,281781.84
9/24/2022,ATL - Above The Line,Title,online display,627.43,49493.1
2/19/2024,ATL - Above The Line,Brand,partnership,7717.23,54315.48
6/12/2023,ATL - Above The Line,Brand,partnership,293.02,89396.93
6/7/2023,ATL - Above The Line,Brand,partnership,86604.71,28044.78
7/9/2023,ATL - Above The Line,Title,online display,26694.19,61298.21
7/4/2023,ATL - Above The Line,Title,tv,1361.6,56650.07
7/3/2023,ATL - Above The Line,Title,bvod,144.18,47339.12
7/23/2023,ATL - Above The Line,Title,cinema,36572.62,19959.54
7/18/2023,ATL - Above The Line,Title,bvod,2582.56,32761.58
7/24/2023,ATL - Above The Line,Brand,partnership,29660.5,15280.24
8/5/2023,ATL - Above The Line,Title,ctv,178.63,27925.36
11/28/2022,ATL - Above The Line,Brand,online display,1076.42,8539.44
12/5/2022,ATL - Above The Line,Brand,cinema,3205.91,12474.58
12/11/2022,ATL - Above The Line,Title,ctv,3456.76,20770.34
9/19/2023,ATL - Above The Line,Brand,tv,1409.38,10699.04
10/5/2023,ATL - Above The Line,Brand,partnership,9774.61,16612.48
10/15/2023,ATL - Above The Line,Brand,ooh,462.3,23389.01
10/20/2023,ATL - Above The Line,Title,ctv,2455.99,41270.53
11/1/2023,ATL - Above The Line,Title,cinema,3945.86,71434.45
11/15/2023,ATL - Above The Line,Title,cinema,8037.38,17313.92
12/3/2023,ATL - Above The Line,Brand,radio,11473.16,105191.45
11/27/2023,ATL - Above The Line,Brand,cinema,417.08,70675.73
12/3/2023,ATL - Above The Line,Brand,tv,199.17,45708.52
7/7/2022,ATL - Above The Line,Title,online display,31873.19,32162.19
12/7/2023,ATL - Above The Line,Brand,partnership,5785.55,37968.56
4/1/2023,ATL - Above The Line,Title,print,822.42,90675.35
12/14/2023,ATL - Above The Line,Brand,online display,52216.27,94059.11
12/14/2023,ATL - Above The Line,Title,bvod,3913.08,105174.8
