Feature,VIF
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_ott_December,2828006045444.5815
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_print_November,2826231331892.3726
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_April,2823573434088.0854
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_September,2805107211068.512
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_olv_June,2779142010102.1265
CHANNEL_MONTH_online display_April,2774006545962.7324
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_paid social_February,2757868724660.4385
CHANNEL_MONTH_youtube_March,2754495184936.083
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_April,2745260364139.284
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_January,2699999776601.0166
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_print_November,2698382041564.108
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_olv_June,2694346172521.984
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_July,2662488694868.7534
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_tv_November,2639859101623.9717
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Title_December,2607758904094.0913
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_bvod_April,2595734655544.9546
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_February,2591254100903.6226
CHANNEL_MONTH_online display_July,2557410350579.498
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_October,2554509147686.0444
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_November,2525146973574.7104
CHANNEL_MONTH_youtube_April,2502694986035.285
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_April,2487489437929.023
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_tv_November,2468402097764.043
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_bvod_April,2462328937873.426
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_paid social_October,2450271832084.0566
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_radio_October,2421941181699.6484
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_April,2409630619245.851
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_November,2406411769901.414
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_September,2392350399665.602
CHANNEL_MONTH_bvod_October,2352363346759.204
CHANNEL_MONTH_youtube_October,2315475386822.877
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_tv_November,2281458777796.604
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_January,2259142025267.3667
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_March,2250674476447.0244
CHANNEL_MONTH_digital audio_October,2246184352803.2397
MONTH_October,2208729586743.745
CAMPAIGN_TYPE_CHANNEL_Title_partnership,2193133492754.0764
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ooh_November,2171979564683.1426
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_September,2169886594734.038
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_paid social_April,2169363982355.7302
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_December,2139477257658.1929
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_paid social_December,2127852410758.5618
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_March,2082589423061.501
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_print_December,2070144623015.6267
CHANNEL_MONTH_youtube_December,2068243227265.4402
CAMPAIGN_TYPE_CHANNEL_Title_ott,2042912055963.0283
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ott_May,2038750397179.9438
CHANNEL_ott,2026822514568.18
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_bvod_October,2023634970734.8892
CAMPAIGN_TYPE_CHANNEL_Brand_ooh,1994950001050.0537
CHANNEL_MONTH_app_July,1964064381757.7393
CHANNEL_MONTH_bvod_January,1963636201164.3757
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_August,1952145482171.8665
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_September,1951722482067.3872
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_July,1943300810084.3564
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_paid social_April,1942043823790.6409
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_August,1934951504777.8716
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Title_February,1910733825782.985
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_April,1901857950747.6758
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_April,1872987992252.2336
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_April,1856388964291.2185
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_display_July,1847630616357.1265
MEDIAN_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,1846494312165.025
CHANNEL_MONTH_olv_January,1840081563787.741
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_ott_January,1820003890632.6514
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ooh_February,1817066623913.8577
CHANNEL_MONTH_online display_January,1802882156673.537
CHANNEL_MONTH_paid social_January,1801079635021.194
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_display_July,1797844162622.9524
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_July,1797126746755.9841
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_October,1792834246564.688
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_print_January,1792120822670.3127
CHANNEL_MONTH_ctv_October,1764733396305.0532
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_bvod_June,1763696740697.2766
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_bvod_June,1763351459424.6265
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_December,1763006313317.869
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_print_October,1757159433230.7827
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_display_November,1743553862706.3477
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_paid social_January,1739513181680.377
ATL_OR_DR_MONTH_DR - Direct Response_April,1737499856238.6172
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_January,1716965164838.161
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_bvod_December,1715983854970.6597
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ooh_November,1714350828842.9753
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ott_November,1711744442178.0676
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_April,1711419200976.8179
CHANNEL_MONTH_online display_September,1700113109615.1362
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_October,1700113109615.1362
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_paid social_December,1671404575012.2456
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ott_November,1670784502827.1177
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_paid social_February,1663072240535.6338
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_digital audio_March,1648160888333.21
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_October,1640655601956.4648
CHANNEL_MONTH_digital audio_March,1637672591771.0894
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_October,1635590930586.7063
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_March,1633810857018.1375
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_ott_March,1631738995424.0928
ATL_OR_DR_MONTH_DR - Direct Response_July,1618253549180.9185
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_digital audio_March,1618253549180.9185
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_print_January,1615061727584.901
MEDIAN_FREE_TRIALS_MONTH,1606993622612.1306
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_radio_January,1597304354449.5464
AVG_FREE_TRIALS_MONTH,1590534920491.081
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_May,1562935841530.625
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_radio_January,1555378907743.221
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_September,1554037138499.136
CHANNEL_MONTH_youtube_November,1546831402153.6995
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_partnership_April,1546831402153.6995
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_June,1544444316656.5486
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_October,1533401303156.4507
CHANNEL_MONTH_youtube_February,1532618556192.1035
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_December,1523545205470.398
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_paid social_April,1510261444456.9067
CAMPAIGN_TYPE_MONTH_Title_March,1507228790953.9812
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_bvod_October,1502451919056.0454
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_September,1501950851215.7732
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_October,1499200941201.8962
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_radio_October,1499200941201.8962
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ott_September,1490024690610.586
CHANNEL_MONTH_print_December,1486336510683.332
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_October,1482666543990.2869
CHANNEL_MONTH_youtube_January,1482178583962.6448
CHANNEL_MONTH_print_January,1472967989328.0444
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Brand_August,1471524138987.2556
CHANNEL_display,1470803274778.085
CHANNEL_MONTH_online display_October,1467209521866.915
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ctv_June,1465538440406.93
CHANNEL_MONTH_youtube_September,1464347139447.4055
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_paid social_December,1463157773674.625
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_February,1463157773674.625
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_September,1456532867842.9807
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_July,1449967684278.9749
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_May,1449267780328.3977
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_youtube_April,1446010475957.7769
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_January,1443692780051.4492
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_April,1442305725338.8298
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_September,1441151880758.5588
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_February,1440690859683.46
CHANNEL_MONTH_ott_March,1437471952560.0051
CHANNEL_MONTH_bvod_August,1435410239799.3613
CHANNEL_MONTH_radio_September,1433810769618.114
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_December,1428580373472.0051
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_February,1427222192163.0474
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ott_December,1422264212022.8948
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_May,1416894644445.6492
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_bvod_September,1416449010023.7446
MONTH_March,1416226297915.2502
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_olv_January,1414669271986.963
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_youtube_March,1408255042955.127
CHANNEL_MONTH_online display_May,1405179290911.2312
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_cinema_February,1404960108367.0242
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_June,1401462463784.1904
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_youtube_February,1390214424253.896
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_radio_September,1377668897941.4182
CAMPAIGN_TYPE_CHANNEL_Brand_tv,1369499658619.5823
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_partnership_September,1369083334053.9583
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_August,1363694058249.961
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_cinema_November,1361015299900.4219
CHANNEL_MONTH_ooh_February,1355689231598.584
CHANNEL_MONTH_paid social_July,1348786950395.4766
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_print_October,1343956916553.4158
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_cinema_November,1339758925292.4277
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ooh_July,1334795384520.0046
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_tv_February,1333214809760.3599
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_December,1319156305615.2595
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ooh_December,1315303629489.0466
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_ctv_September,1313194234544.5388
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_youtube_July,1312620118732.2927
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_October,1280523067207.9885
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_youtube_August,1278160813784.73
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_October,1273102368161.271
CHANNEL_pmax,1272562765575.1614
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_print_October,1272382999680.886
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ooh_December,1272203284567.9368
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_print_November,1268440959687.5076
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_September,1267370093533.276
CAMPAIGN_TYPE_CHANNEL_Brand_pmax,1266123032715.9111
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_youtube_September,1257461853237.609
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_print_February,1254659319507.0332
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ott_January,1251869250137.7334
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_youtube_May,1242886608905.8909
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_ott_May,1241173936163.8408
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_print_February,1239465976983.7612
CAMPAIGN_TYPE_CHANNEL_Launch_digital audio,1234031957081.928
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_DR - Direct Response_Title_September,1230827993268.788
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_January,1229483927756.0732
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_youtube_December,1215710521627.884
CHANNEL_MONTH_radio_January,1212437643658.7686
CHANNEL_MONTH_print_February,1208695552165.9946
CHANNEL_MONTH_ott_January,1202081843686.2395
CHANNEL_MONTH_olv_June,1191270897333.8171
CHANNEL_MONTH_partnership_May,1188912256433.605
